Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","74.63"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","480.4"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","3.2"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","551.83"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","g/personne/jour","0.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","million kcal","687.69"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","84.17"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","37.46"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","682.28"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","2658.95"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","-1977"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","million kcal","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","14063.1"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","3892.2"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","4576.4"
